News Title,News Content,Label
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,"Wọn fẹsun kan afurasi naa, ti awọn obi rẹ jẹ ọmọ bibi ipinlẹ Sokoto, pe o ti aburẹ rẹ ọkunrin sinu kanga.",Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,"Bo tilẹ jẹ baba kan naa lo bi awọn mejeji, iya ọtọtọ lo bi wọn.",Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,Iroyin ni lẹyin to ti ọmọ ọdun kan ati oṣu mẹjọ naa sinu kanga tan lo sọ fun baba rẹ pe wọn ti ji ọmọ ọhun gbe.,Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,"Kọmiṣọna ọlọpaa ipinlẹ Ondo, Bolaji Salami ni iṣẹlẹ naa waye lọjọ karundinlogun, oṣu Kejila, ọdun 2020.",Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,"Salami ṣalaye fun awọn oniroyin pe ""o kọkọ sọ fun baba rẹ pe awọn gbọmọ-gbọmọ lo ji aburo rẹ ọhun gbe ko to jẹwọ pe ọmọ naa wa ninu kanga.""",Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,"Nigba to n sọrọ lori idi to fi ti aburo rẹ sinu kọnga, ọmọ ile iwe alakọbẹrẹ naa sọ pe ounn ko mọ pe ohun ti oun ṣe yoo yọri si iku ọmọdekunrin naa.",Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,Lẹyin naa lo sọ pe oun ti i sinu kanga lati gbẹsan bi iya rẹ ṣe maa n fi iya jẹ oun.,Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,"O ni iyawo baba oun naa maa n fi iya jẹ oun leyin ti ija bẹ silẹ laarin baba ati iya oun, ti baba oun si gbe obinrin naa niyawo.",Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,"Bakan naa lo tun sọ pe baba oun fẹran oloogbe naa ju oun lọ, nitori naa ni oun ṣe ti ọmọ naa sinu kanga ṣugbọn oun ko mọ pe yoo mu ẹmi rẹ lọ.",Yoruba
Akure Death: Ọmọ ọdún mẹ́wàá ṣàlàyé ìdí tó ṣe ti àbúrò rẹ̀ tó jẹ́ ọmọ ọdun kan àbọ̀ sínú kàǹga - BBC News Yorùbá,"Ẹwẹ, kọmiṣọna ọlọpaa ipinlẹ Ondo ti sọ pe afurasi ọhun yoo foju bale ẹjọ laipẹ.",Yoruba
